iter	MultiClass
0	0.9971195124
1	0.9197808735
2	0.8590698622
3	0.8104262132
4	0.7701682774
5	0.737364737
6	0.7102636386
7	0.6876280402
8	0.66871487
9	0.6526022195
10	0.6389686426
11	0.6272493832
12	0.6172159874
13	0.6082719865
14	0.6010958879
15	0.5949449056
16	0.5894880664
17	0.5848021388
18	0.5808654568
19	0.5773203179
20	0.5740681103
21	0.5709249464
22	0.5682917819
23	0.5657136258
24	0.5639747154
25	0.5623757783
26	0.5609096136
27	0.5595892712
28	0.558295913
29	0.556798774
30	0.555951579
31	0.5549266961
32	0.5539847614
33	0.5532703172
34	0.5524770551
35	0.5519411707
36	0.5514337275
37	0.5506182151
38	0.5500731658
39	0.5496301545
40	0.5493142462
41	0.5489545668
42	0.5484203252
43	0.5481168482
44	0.5476592653
45	0.5472782135
46	0.5466259497
47	0.5464299846
48	0.5461500108
49	0.545820438
50	0.5455784299
51	0.545237616
52	0.5449017088
53	0.5446267876
54	0.54435989
55	0.5441913517
56	0.5438910396
57	0.5436940516
58	0.5434209575
59	0.5432700191
60	0.5427975062
61	0.5426131395
62	0.5424334886
63	0.542190963
64	0.5419520668
65	0.541803941
66	0.5416168139
67	0.5414215182
68	0.5412479373
69	0.5411271226
70	0.5409191626
71	0.5407446896
72	0.5405446727
73	0.5402347423
74	0.5400170416
75	0.5399006186
76	0.5397889957
77	0.5396431417
78	0.5394262668
79	0.5392335422
80	0.5390959196
81	0.5389030828
82	0.5387351022
83	0.5386415107
84	0.5383084521
85	0.538155983
86	0.5379857298
87	0.5377930045
88	0.5375992911
89	0.5373641069
90	0.5372483458
91	0.5371445824
92	0.5370423122
93	0.5367944426
94	0.5366414281
95	0.536483463
96	0.5363239559
97	0.5362480567
98	0.5360452793
99	0.5358245746
100	0.5357263853
101	0.5356277081
102	0.5355243136
103	0.5354735606
104	0.535339846
105	0.5352015297
106	0.5351352105
107	0.5349796728
108	0.5349133903
109	0.5346905965
110	0.5345936091
111	0.5343621245
112	0.5341599557
113	0.5340336243
114	0.5339013434
115	0.5338355042
116	0.5337359392
117	0.5336173371
118	0.533472184
119	0.5333700334
120	0.5332831059
121	0.5332087881
122	0.5330725972
123	0.5330057429
124	0.5329050753
125	0.532836806
126	0.5327683577
127	0.5327022523
128	0.5325707733
129	0.532438204
130	0.5323719215
